time,z,y,x
1707531225383520000,5.632666111,-5.111954212,-6.723522663
1707531225402410000,0.845878363,-4.970292091,-12.05050755
1707531225421310000,-1.879456282,-4.834159851,-10.45964146
1707531225440200000,-0.392217577,-3.921356678,-7.104833603
1707531225459090000,0.711506963,-3.84008503,-7.234705925
1707531225477990000,-0.192506552,-4.061189175,-6.385177612
1707531225496880000,-0.970396996,-2.296404839,-3.162744284
1707531225515770000,-2.516845703,-0.689750195,-3.757701397
1707531225534660000,-2.706624031,-1.595579624,-7.077051163
1707531225553560000,0.14889431,-1.725359917,-6.687175751
1707531225572450000,3.493669748,-0.78715992,-2.746585369
1707531225591340000,4.628458977,-0.670527935,-1.906381607
1707531225610240000,4.296813011,-0.015469551,-1.094086289
1707531225629130000,3.251536846,0.964508057,2.031531811
1707531225648020000,3.621165276,1.951264381,2.631506205
1707531225666910000,3.77984333,2.44828701,1.782654524
1707531225685810000,3.739123344,2.894128323,1.772635102
1707531225704700000,3.545445442,4.325798035,3.813067198
1707531225723590000,2.347296715,5.38051796,3.672925234
1707531225742490000,-0.020659447,6.201165676,4.712612629
1707531225761380000,-2.315488815,6.699448586,6.231419563
1707531225780270000,-6.532200813,4.431435108,3.503489256
1707531225799160000,-9.821825027,1.06115675,-1.684199214
1707531225818060000,-10.29497242,-2.034870625,-2.452682257
1707531225836950000,-4.6583395,-3.914398432,-0.284180641
1707531225855840000,-1.650707245,-6.851560593,0.11784029
1707531225874740000,-1.664565086,-8.321426392,0.17892313
1707531225893630000,-3.705101967,-7.744720936,3.050286293
1707531225912520000,-5.704006195,-5.658070087,7.987286568
1707531225931410000,-6.941109657,-4.370765209,9.38864994
1707531225950310000,-4.438170433,-5.617148399,5.056582928
1707531225969200000,-1.343871593,-6.183960438,0.753296375
1707531225988090000,1.670145273,-5.093397141,0.46764183
1707531226006990000,1.376676083,-3.376543283,1.053957462
1707531226025880000,-2.595751524,-1.892537117,2.534824848
1707531226044770000,-8.285165787,-1.715121746,-0.298560143
1707531226082560000,-5.9125247,-3.393525124,-11.69780159
1707531226101450000,-0.798876047,-1.124791145,-7.181303978
1707531226120340000,4.577274323,1.158008099,1.491214275
1707531226139240000,9.625150681,3.850761414,6.403271675
1707531226158130000,14.02685547,4.732969284,7.320576191
1707531226177020000,11.88231277,2.9806633,1.808292866
1707531226195910000,8.178119659,1.524012566,-4.712954998
1707531226214810000,5.893829346,0.34114933,-8.604961395
1707531226233700000,4.748158932,-1.108971119,-8.029337883
1707531226252590000,8.118988991,-2.020246983,-5.840395927
1707531226271490000,12.21435261,-4.919632912,-4.624544621
1707531226290380000,11.54047966,-7.340939522,-2.286732912
1707531226309270000,7.860069752,-6.521611214,-0.256825209
1707531226328160000,-0.321376801,-4.466838837,-3.274356604
1707531226347060000,-6.776669502,-0.540462255,0.443586588
1707531226365950000,-2.912791252,1.789371252,6.807235718
1707531226384840000,-0.350687981,3.09709549,7.166772366
1707531226403740000,-3.937430382,3.231315136,6.633198738
1707531226422630000,-7.318810463,3.346909285,4.550010681
1707531226441520000,-4.559886932,2.477859497,4.021708965
1707531226460410000,-0.870484352,0.872820616,3.837584496
1707531226479310000,0.380252838,-1.561668634,2.916543722
1707531226498200000,0.787251472,-2.892168045,0.526676178
1707531226517090000,-3.045952797,-0.947791338,-0.127949953
1707531226535990000,-8.188102722,0.632227898,0.765648842
1707531226554880000,-12.26958084,-1.078821182,-0.436477184
1707531226573770000,-8.947511673,-4.854935169,-3.588361025
1707531226592660000,-5.538843155,-5.212805748,-4.281263351
1707531226611560000,-2.054191351,-4.322110176,-1.905822754
1707531226630450000,-2.5040133,-2.724012375,-2.33581686
1707531226649340000,-9.317611694,-1.680517197,-0.698125362
1707531226668240000,-11.27388,-0.941681385,2.095705509
1707531226687130000,-9.649438858,-1.661861897,3.942455769
1707531226706020000,-4.759653091,-1.586739063,3.147230864
1707531226724910000,-1.194486618,-1.508151531,9.539811134
1707531226743810000,1.488093376,-1.449088693,8.856218338
1707531226762700000,6.013136864,-2.251355171,6.165455818
1707531226781590000,9.184893608,-2.221188307,8.926960945
1707531226800490000,10.72343445,-2.617761612,6.771508694
1707531226819380000,12.30205631,-3.512492657,5.718166351
1707531226838270000,12.98197174,-3.810004234,4.697309494
1707531226857170000,12.98531914,-5.383229256,4.937804222
1707531226876060000,14.82146645,-7.467902184,3.344902992
1707531226894950000,15.74545097,-9.483935356,4.449083328
1707531226913840000,14.42892456,-12.36181259,1.104611397
1707531226932740000,11.83636475,-14.13353539,-5.074973106
1707531226951630000,10.53130913,-12.70534897,-9.777105331
1707531226970520000,8.69927597,-10.58145046,-8.903877258
1707531226989420000,7.821698666,-7.308374882,-5.599220276
1707531227008310000,5.620602608,-5.361617565,-2.13068676
1707531227027200000,6.569045544,-3.856850624,-0.490972251
1707531227046090000,9.295944214,-4.512638569,-0.86511898
1707531227064990000,10.36653233,-4.672422409,-1.472307801
1707531227083880000,8.793718338,-4.979948521,-0.51213026
1707531227102770000,8.067653656,-5.662970543,0.566124678
1707531227121670000,8.076014519,-6.797416687,2.164774656
1707531227140560000,8.61212635,-6.968470573,6.189137936
1707531227159450000,9.733716011,-7.474086761,8.328948021
1707531227178340000,13.69177246,-9.663516998,5.079679489
1707531227197240000,3.528104782,-7.981105804,1.122674823
1707531227216130000,2.422624588,-5.450278759,5.540322781
1707531227235020000,4.147971153,-2.168702602,8.733531952
1707531227253920000,2.956630707,0.051306248,10.66927624
1707531227272810000,-2.668778419,1.344594359,9.27256012
1707531227291700000,-5.482909203,2.105894804,9.853042603
1707531227310600000,-4.472593307,2.473300219,9.959159851
1707531227329490000,-3.589151382,0.333735555,11.64069939
1707531227348380000,-5.046356201,-3.141505957,10.66196632
1707531227367270000,-3.338752747,-6.942443371,8.549884796
1707531227386170000,-3.05614996,-9.198599815,6.436150551
1707531227405060000,-7.108479977,-7.485903263,5.571819305
1707531227423950000,-10.3816824,-5.507509708,5.506711483
1707531227442850000,-11.50718021,-5.302735329,4.122513294
1707531227461740000,-9.731798172,-4.276301384,4.276043892
1707531227480630000,-6.043495655,-3.643843412,7.167584419
1707531227499520000,-3.247101307,-4.632029057,9.074310303
1707531227518420000,-2.090214729,-4.772171974,10.08457947
1707531227537310000,-1.812458277,-5.669976234,7.573873043
1707531227556200000,-1.033769488,-6.189980507,4.387882233
1707531227575100000,0.09361136,-6.513102055,1.744861603
1707531227593990000,0.816538334,-6.98913765,0.936862946
1707531227612880000,-0.045852423,-5.899979115,-0.104506016
1707531227631770000,-0.639595509,-5.325614929,-0.708115578
1707531227650670000,-0.695144057,-4.798490047,-2.163193703
1707531227669560000,0.426411867,-3.771566391,-3.071606636
1707531227688450000,2.035214663,-3.325596809,-2.894938231
1707531227707350000,1.152456522,-2.613315582,-3.319164753
1707531227726240000,-0.045846224,-0.130996704,-2.804575443
1707531227745130000,-2.920531034,2.218187809,-2.852989197
1707531227764030000,-5.529935837,4.297392368,-3.670608759
1707531227782920000,-5.937657356,5.891596794,-2.772064209
1707531227801810000,-5.154740334,7.403549194,-3.779362202
1707531227820700000,-3.558132172,7.718625069,-2.85144043
1707531227839600000,-1.120858192,7.072525978,-3.131269455
1707531227858490000,0.202617168,5.1470294,-2.825017929
1707531227877380000,0.686786652,3.263725281,-1.457062721
1707531227896280000,0.844463706,1.781478882,1.504344463
1707531227915170000,-0.559962988,-0.041116238,3.659623623
1707531227934060000,-1.947946072,-2.492293835,3.883954048
1707531227952960000,-1.549514532,-4.690403938,3.865791321
1707531227971850000,0.032451391,-5.06602478,5.855150223
1707531227990740000,-0.163563728,-5.201842308,6.987959862
1707531228009630000,-1.322575688,-5.726234436,6.666815281
1707531228028530000,-2.781297684,-6.893444538,4.699836254
1707531228047420000,-2.37825799,-7.769824505,2.673256397
1707531228066310000,-1.471134424,-7.652499199,1.742332935
1707531228085210000,-0.689861536,-7.108594894,0.873037338
1707531228104100000,-0.744602203,-7.578752518,-1.541901588
1707531228122990000,-0.46103847,-6.690374851,-5.002110004
1707531228141880000,0.941282392,-5.631612778,-7.01727581
1707531228160780000,4.07450676,-4.025345325,-7.653049946
1707531228179670000,6.390564919,-2.301050663,-7.465808392
1707531228198560000,4.529272079,0.74407196,-6.373831272
1707531228217460000,0.912210584,4.763559818,-3.878979683
1707531228236350000,-2.017380714,7.701947212,-1.784137249
1707531228255240000,-3.750071049,9.473434448,-0.768084526
1707531228274140000,-6.044050217,10.13082123,0.062086582
1707531228293030000,-8.57252121,9.725788116,1.260096073
1707531228311920000,-9.559010506,8.205010414,4.220440388
1707531228330810000,-9.43241024,5.79204464,4.303328991
1707531228349710000,-3.343455315,1.688251495,4.227873802
1707531228368600000,1.386906624,-4.388353348,4.383573532
1707531228387490000,6.797011375,-6.436260223,6.333616257
1707531228406390000,8.14441967,-5.260677338,10.95512104
1707531228425280000,4.482098103,-4.827402592,10.26893139
1707531228444170000,0.123870373,-6.425983906,4.04604435
1707531228463060000,2.248805523,-5.778069973,6.607049465
1707531228481960000,4.171781063,-4.014224052,8.467330933
1707531228500850000,3.808561325,-3.094516754,9.310742378
1707531228519740000,2.756247044,-1.45529747,7.326840878
1707531228538640000,1.9856143,-0.217837334,5.529240131
1707531228557530000,1.449740887,1.512120247,3.662508488
1707531228576420000,-1.804300547,4.269494057,0.525398016
1707531228595320000,-2.882233143,7.476104736,-2.60393858
1707531228614210000,1.307435989,9.588980675,-5.823882103
1707531228633100000,5.400286674,9.11644268,-6.628378868
1707531228651990000,7.013644695,6.214680195,-5.597503185
1707531228670890000,4.489864349,3.18337059,-2.130739689
1707531228689780000,0.954455018,-0.104064941,-0.658324718
1707531228708670000,-0.869133115,-2.282824039,2.422058582
1707531228727570000,-0.107808828,-5.018587112,2.2524333
1707531228746460000,2.071404219,-6.764047623,2.266238213
1707531228765350000,2.907425642,-8.158770561,2.690724373
1707531228784250000,3.111081362,-8.825958252,3.861255169
1707531228803140000,3.341063499,-9.753437996,3.878042221
1707531228822030000,4.019002438,-10.48854542,2.526376724
1707531228840920000,4.937115669,-10.9430809,1.113910198
1707531228859820000,5.471869469,-11.06647301,-0.913347244
1707531228878710000,5.473355293,-10.7392931,-3.549229622
1707531228897600000,3.45108223,-9.954740524,-3.611813545
1707531228916500000,0.771409273,-7.53844595,-3.663430214
1707531228935390000,-0.375054359,-3.171140194,-4.739219189
1707531228954280000,-1.701825261,2.147516251,-4.735690594
1707531228973180000,-4.392506123,6.547188282,-1.323838234
1707531228992070000,-4.22721529,8.589292526,1.396745682
1707531229010960000,-1.11417532,7.093650818,2.049455643
1707531229029850000,1.4294312,4.515837669,2.534881353
1707531229048750000,0.953957677,2.007698059,2.901502132
1707531229067640000,1.438541293,-0.296535492,2.819306135
1707531229105430000,5.768095016,0.05635643,1.666653633
1707531229124320000,8.079479218,2.888108253,4.088024616
1707531229143210000,8.411493301,6.199559212,2.244430065
1707531229162110000,7.075826645,8.120028496,0.57039237
1707531229181000000,7.756905556,8.01379776,1.62331605
1707531229199890000,7.419138432,5.792098045,4.714080334
1707531229218780000,4.555398941,3.70580101,5.78075552
1707531229237680000,1.229799747,1.12335968,5.146997452
1707531229256570000,-1.92849493,-1.999725342,3.669484138
1707531229275460000,-2.525190115,-4.520424843,2.331751823
1707531229294360000,-2.116812468,-6.575797081,-0.141937003
1707531229313250000,-0.708709121,-8.176717758,-2.550287008
1707531229332140000,-0.262766719,-9.418690681,-3.35373497
1707531229351040000,-1.064954758,-10.21907902,-2.942841053
1707531229369930000,-1.958014965,-10.63839531,-3.527449131
1707531229388820000,-2.691248655,-10.47220039,-3.266177654
1707531229407710000,-4.032938957,-10.47572136,-2.128050566
1707531229426610000,-3.530297041,-8.972066879,-2.464292526
1707531229445500000,-3.066982269,-8.486145973,-2.374156237
1707531229464390000,-3.103519201,-7.484378815,-3.126981974
1707531229483290000,-2.732991695,-5.444272518,-2.657844543
1707531229502180000,-3.203360796,-1.933128357,-0.347033262
1707531229521070000,-5.40392971,1.935603142,-0.532896757
1707531229539970000,-1.273065686,1.479204178,1.205827236
1707531229558860000,11.00597477,0.243703842,1.779379368
1707531229577750000,19.94320869,0.699726105,1.255497456
1707531229596640000,12.32469463,3.441060066,4.455820084
1707531229615540000,4.686234474,7.658778191,5.721145153
1707531229634430000,-0.366257489,9.588092804,4.426211357
1707531229653320000,-1.981500745,11.29069901,2.810353279
1707531229672220000,-2.63387394,11.14671516,0.087859631
1707531229691110000,-1.490830064,10.44651413,-0.7249856
1707531229710000000,0.469174474,9.513017654,-1.096046448
1707531229728900000,1.969754457,8.006445885,-1.601307869
1707531229747790000,2.03706336,5.086225033,-3.199457645
1707531229766680000,0.712596595,1.835264683,-4.561349392
1707531229785570000,0.561141849,-0.105753899,-3.01022625
1707531229804470000,0.822823107,-1.966499805,-1.112499237
1707531229823360000,1.307659507,-3.810420036,0.628477573
1707531229842250000,1.84193027,-5.418818474,2.263811111
1707531229861150000,1.373254299,-7.027458668,2.588398933
1707531229880040000,0.459707797,-7.954893112,2.542719841
1707531229898930000,0.36313647,-8.142772675,2.543716431
1707531229917830000,0.457488805,-7.95425272,3.186416626
